#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type," Distance ("")"
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri13010,217.3266551,-3.444481471,3,56331.75763,113,56697.11654,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri13020,217.3266551,-3.444481471,3,56331.75917,1939,56697.1166,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri13030,217.3266551,-3.444481471,3,56331.81582,1,56697.11666,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri13040,217.3266551,-3.444481471,3,56331.81606,2493,56697.11671,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri13050,217.3266551,-3.444481471,3,56331.88228,1,56697.11678,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri13060,217.3266551,-3.444481471,3,56331.88252,2493,56697.11683,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri13070,217.3266551,-3.444481471,3,56331.94874,1,56697.11703,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri13080,217.3266551,-3.444481471,3,56331.94898,2493,56697.11709,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri13090,217.3266551,-3.444481471,3,56332.0152,1,56697.11715,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri130a0,217.3266551,-3.444481471,3,56332.01544,2493,56697.11721,GO,0
science,HST,CALSTIS,STIS/CCD,HST,MIRVIS,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri13sjq,217.3266551,-3.444481471,1,56331.75341,1.7,56697.1159,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri14010,217.3266551,-3.444481463,3,56335.81175,113,56701.15007,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri14020,217.3266551,-3.444481463,3,56335.81329,1939,56701.15024,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri14030,217.3266551,-3.444481463,3,56335.86997,1,56701.15036,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri14040,217.3266551,-3.444481463,3,56335.87021,2493,56701.15042,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri14050,217.3266551,-3.444481463,3,56335.93642,1,56701.15047,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri14060,217.3266551,-3.444481463,3,56335.93667,2493,56701.15053,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri14070,217.3266551,-3.444481462,3,56336.00289,1,56701.15059,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri14080,217.3266551,-3.444481462,3,56336.00314,2493,56701.15065,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri14090,217.3266551,-3.444481462,3,56336.06935,1,56701.15072,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri140a0,217.3266551,-3.444481462,3,56336.06959,2493,56701.15078,GO,0
science,HST,CALSTIS,STIS/CCD,HST,MIRVIS,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri14jvq,217.3266551,-3.444481463,1,56335.80754,1.7,56701.14954,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G750L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri23010,217.3266548,-3.444481394,3,56368.24825,101,56733.97991,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G750L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri23020,217.3266548,-3.444481394,3,56368.24965,1939,56733.97997,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G750L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri23030,217.3266548,-3.444481394,3,56368.30593,1,56733.98002,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G750L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri23040,217.3266548,-3.444481394,3,56368.30617,2493,56733.98008,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G750L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri23050,217.3266548,-3.444481393,3,56368.3724,1,56733.9802,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G750L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri23060,217.3266548,-3.444481393,3,56368.37264,2493,56733.98025,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G750L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri23070,217.3266548,-3.444481393,3,56368.43887,1,56733.98031,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G750L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri23080,217.3266548,-3.444481393,3,56368.43911,2493,56733.98037,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G750L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri23090,217.3266548,-3.444481393,3,56368.50534,1,56733.98043,GO,0
science,HST,CALSTIS,STIS/CCD,HST,G750L,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri230a0,217.3266548,-3.444481393,3,56368.50558,2493,56733.9805,GO,0
science,HST,CALSTIS,STIS/CCD,HST,MIRVIS,Optical,WASP-39,STAR;EXTRA-SOLAR PLANETARY SYSTE,obri23roq,217.3266548,-3.444481394,1,56368.24381,1.7,56733.97927,GO,0
